Frame count,Position,'Rotation,Tracker confidence
0,"x: -0.000173214, y: 0.00025278, z: -0.000431129","x: 0.00100988, y: -0.135587, z: 0.99074, w: -0.00702083",2
1,"x: 0.00054157, y: 0.000125151, z: -0.000643449","x: 0.000177091, y: -0.120682, z: 0.992664, w: -0.00735628",2
2,"x: 0.000875011, y: 0.000162619, z: 0.000145601","x: 0.0033894, y: -0.140402, z: 0.990066, w: -0.00665804",2
3,"x: 0.00215569, y: 0.000580387, z: 0.001223","x: 0.00987092, y: -0.174461, z: 0.984599, w: -0.00546973",2
4,"x: 0.00212012, y: 0.000790289, z: 0.000947651","x: 0.0124131, y: -0.149323, z: 0.988696, w: -0.00531498",2
5,"x: 0.00188827, y: 0.00154573, z: -4.8404e-06","x: 0.0121434, y: -0.117723, z: 0.992957, w: -0.00544211",2
6,"x: 0.00183517, y: 0.00139136, z: 0.00213093","x: 0.0132744, y: -0.137174, z: 0.990445, w: -0.00498623",2
7,"x: 0.00266989, y: 0.00103357, z: 0.0032152","x: 0.0140242, y: -0.160974, z: 0.986849, w: -0.00442337",2
8,"x: 0.0027802, y: 0.00116917, z: 0.00383289","x: 0.0138615, y: -0.162834, z: 0.986546, w: -0.00444721",2
9,"x: 0.0027551, y: 0.0025143, z: 0.00357072","x: 0.0130216, y: -0.142151, z: 0.989748, w: -0.00482224",2
10,"x: 0.00347404, y: 0.00376886, z: 0.00280443","x: 0.00912154, y: -0.102366, z: 0.99469, w: -0.00538131",2
11,"x: 0.00288731, y: 0.00435692, z: 0.00167478","x: 0.00507054, y: -0.0868026, z: 0.99619, w: -0.0067816",2
12,"x: 0.00183265, y: 0.00445106, z: 0.00534271","x: 0.00632891, y: -0.094676, z: 0.995461, w: -0.0074069",2
13,"x: 0.000604928, y: 0.00645587, z: 0.00708479","x: -0.00685782, y: -0.103855, z: 0.994541, w: -0.00737894",2
14,"x: 0.00083927, y: 0.00538775, z: 0.00923719","x: -0.032155, y: -0.126828, z: 0.991361, w: -0.00912613",2
15,"x: -0.00149513, y: 0.00724347, z: 0.0119496","x: -0.0634091, y: -0.133492, z: 0.989003, w: -0.00560285",2
16,"x: -0.00411635, y: 0.0135074, z: 0.0162819","x: -0.0884, y: -0.133311, z: 0.987069, w: -0.0104147",2
17,"x: -0.00730586, y: 0.02534, z: 0.0201576","x: -0.106299, y: -0.129663, z: 0.985264, w: -0.0338035",2
